id,date mixed,reservoir,rez_id,reservoir size (g),reservir size (L),system,reservoir fill volume (g),reservoir fill volume (L),top-up or full reset,ingredient 1,ingredient 1 quantity (ml),ingredient 2,ingredient 2 quantity (ml),ingredient 3,ingredient 3 quantity (ml),ingredient 4,ingredient 4 quantity (ml),ingredient 5,ingredient 5 quantity (ml),ingredient 6,ingredient 6 quantity (ml),ingredient 7,ingredient 7 quantity,ingredient 8,ingredient 8 quantity,ingredient 9,ingredient 9 quantity,ingredient 10,ingredient 10 quantity
45,7/20/2018,BOZ,,12,46,N/A - Germination,10,38,full reset,vinegar,30,hydrogen peroxide,30,flora gro,10,flora micro,10,flora bloom,10,rock supercharge,40,,,,,,,,
46,7/20/2018,S,,27,103,Sue + David Racks,12,46,,vinegar,60,hydrogen peroxide,30,flora gro,60,flora micro,60,flora bloom,60,rock supercharge,48,,,,,,,,
47,7/20/2018,M,,27,103,Naga,12,46,,vinegar,60,hydrogen peroxide,30,flora gro,60,flora micro,60,flora bloom,60,rock supercharge,48,,,,,,,,
48,7/23/2018,YC,,27,103,Dumbo,20,76,,vinegar,120,hydrogen peroxide,90,flora gro,100,flora micro,100,flora bloom,100,rock supercharge,100,,,,,,,,
49,7/26/2018,BOZ,,12,46,N/A - Germination,6,23,full reset,vinegar,40,hydrogen peroxide,30,flora gro,10,flora micro,10,flora bloom,10,rock supercharge,20,,,,,,,,
50,8/1/2018,Young Lucius,,12,46,N/A - Germination,6,23,full reset,vinegar,30,hydrogen peroxide,30,flora gro,10,flora micro,10,flora bloom,10,rock supercharge,25,,,,,,,,
51,8/5/2018,S,,27,103,Sue + David Racks,20,76,,vinegar,90,hydrogen peroxide,90,flora gro,90,flora micro,90,flora bloom,90,rock supercharge,20,,,,,,,,
52,8/7/2018,P,,17,65,Sue,15,57,,vinegar,60,hydrogen peroxide,60,flora gro,75,flora micro,75,flora bloom,75,rock supercharge,60,,,,,,,,
54,8/7/2018,BOZ,,12,46,N/A - Germination,6,23,full reset,vinegar,40,hydrogen peroxide,40,flora gro,12,flora micro,12,flora bloom,12,rock supercharge,30,,,,,,,,
53,8/7/2018,DIN,,55,209,Naga + Rezha,50,190,full reset,bottom of S reservoir,6000,bottom of M reservoir,6000,,,,,,,,,,,,,,,,
55,8/9/2018,YC,,27,103,Dumbo,15,57,,vinegar,60,hydrogen peroxide,60,flora gro,75,flora micro,75,flora bloom,75,rock supercharge,60,,,,,,,,
56,8/14/2018,MIZ,,12,46,N/A - Germination,6,23,full reset,vinegar,60,hydrogen peroxide,60,flora gro,15,flora micro,15,flora bloom,15,rock supercharge,30,,,,,,,,
57,8/19/2018,P,,17,65,Sue,8,31,,vinegar,80,hydrogen peroxide,30,flora gro,45,flora micro,45,flora bloom,45,rock supercharge,35,,,,,,,,
